"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
037,Upper Wind River,1.6,8940,5/14,1,FULL,FULL,FULL,FULL,FULL,FULL
025IS,Ute Meadow Llama,2.7,9450,6/10,1,1,1,1,1,1,1
102,Valley View,3.2,10260,6/22,1,1,1,1,1,1,1
035,Wind River Bluff,1,8800,5/15,FULL,FULL,1,FULL,1,FULL,FULL
020,Ypsilon Creek,2.6,9560,5/22,NA,NA,NA,NA,NA,NA,NA
"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
"",,,,,6/19/2016,6/20/2016,6/21/2016,6/22/2016,6/23/2016,6/24/2016,6/25/2016
040,Andrews Creek (Waste Bag),3.6,10560,7/02,FULL,FULL,FULL,FULL,FULL,FULL,FULL
026,Arch Rock,1.6,8240,5/13,FULL,FULL,FULL,1,FULL,1,FULL
052IS,Aspen Knoll Llama,2.3,9400,5/26,1,1,1,1,1,1,FULL
005G,Aspen Meadow Group (WF),5.9,9520,5/31,1,FULL,1,FULL,1,1,1
043G,Battle Mountain Group,2.8,11000,6/18,1,FULL,1,1,FULL,1,FULL
047,Beaver Mill,3,9640,6/02,1,1,FULL,1,1,FULL,FULL
085G,Big Meadows Group,1.9,9400,6/13,1,FULL,FULL,1,1,FULL,FULL
072,Big Pool,5,9160,6/10,1,FULL,2,FULL,1,1,1
016GS,Bighorn Mt Grp/Stk,6.8,10320,6/25,NA,NA,NA,NA,NA,NA,NA
038,Boulder Brook,3.9,10200,6/17,FULL,1,FULL,FULL,FULL,FULL,FULL
038G,Boulder Brook Group,3.9,10200,6/17,FULL,1,FULL,FULL,1,1,FULL
044,Boulderfield,6,12760,6/19,NA,NA,NA,NA,NA,NA,NA
044-1,Boulderfield 1,6,12760,6/19,4,2,2,3,3,3,1
044-2,Boulderfield 2,6,12760,6/19,1,FULL,1,1,1,1,1
044-3,Boulderfield 3,6,12760,6/19,3,3,4,4,4,3,2
001,Boundary Creek (WF),4.6,9120,6/02,2,2,1,2,FULL,FULL,FULL
111,Box Canyon,5.5,10480,7/08,1,1,1,1,1,1,1
113,Cache,5.6,10150,7/011,NA,NA,NA,NA,NA,NA,NA
046,Campers Creek,2.3,9600,6/05,1,FULL,FULL,FULL,FULL,FULL,1
071,Cascade Falls,3.5,8840,5/25,NA,NA,NA,NA,NA,NA,NA
063,Cats Lair,4,9200,5/31,1,1,FULL,1,1,FULL,FULL
114G,Chapin Creek Group,6.1,10240,7/08,1,FULL,FULL,1,FULL,FULL,1
032,Cub Creek,2.2,8600,5/13,FULL,1,FULL,FULL,FULL,FULL,FULL
021,Cutbank,2.4,9620,5/21,1,FULL,1,FULL,FULL,1,FULL
116,Desolation,2.3,9840,6/30,1,1,1,1,1,1,1
109,Ditch Camp,4.6,10160,6/26,1,1,1,1,1,1,FULL
109GS,Ditch Camp Group/Stock,4.6,10160,6/26,1,1,1,1,1,1,1
107,Dutch Town,6.2,10760,7/14,1,1,1,1,1,FULL,1
061,East Meadow,1.5,8550,5/22,FULL,1,FULL,FULL,1,FULL,FULL
